pundit,week,team1,team2,spread,win,squared_error,pundit_team,Week,team,tot_wins
Adam Teicher,2,Chiefs,Eagles,1,1,0.22233897116386037,Chiefs,2,Chiefs,2
Adam Teicher,3,Chiefs,Chargers,3,1,0.17235959321291194,Chiefs,3,Chiefs,3
Adam Teicher,4,Chiefs,Redskins,7,1,0.09519541280308985,Chiefs,4,Chiefs,4
Adam Teicher,5,Chiefs,Texans,4,1,0.15019382520136093,Chiefs,5,Chiefs,5
Adam Teicher,6,Chiefs,Steelers,3,0,0.3420353355571165,Chiefs,6,Chiefs,5
Adam Teicher,8,Chiefs,Broncos,4,1,0.15019382520136093,Chiefs,8,Chiefs,6
Adam Teicher,9,Chiefs,Cowboys,3,0,0.3420353355571165,Chiefs,9,Chiefs,6
Adam Teicher,11,Chiefs,Giants,7,0,0.4781203353511161,Chiefs,11,Chiefs,6
Adam Teicher,12,Chiefs,Bills,3,0,0.3420353355571165,Chiefs,12,Chiefs,6
Adam Teicher,13,Jets,Chiefs,4,1,0.15019382520136093,Chiefs,13,Chiefs,6
Adam Teicher,14,Raiders,Chiefs,4,0,0.37509686300537626,Chiefs,14,Chiefs,7
Adam Teicher,15,Chiefs,Chargers,3,1,0.17235959321291194,Chiefs,15,Chiefs,8
Adam Teicher,16,Chiefs,Dolphins,9,1,0.06768239322255569,Chiefs,16,Chiefs,9
Adam Teicher,17,Chiefs,Broncos,6,1,0.11163455118252921,Chiefs,17,Chiefs,10
Alden Gonzalez,2,Redskins,Rams,3,1,0.17235959321291194,Rams,2,Rams,1
Alden Gonzalez,4,Cowboys,Rams,10,0,0.5813677260470308,Rams,4,Rams,3
Alden Gonzalez,5,Rams,Seahawks,3,0,0.3420353355571165,Rams,5,Rams,3
Alden Gonzalez,6,Rams,Jaguars,4,1,0.15019382520136093,Rams,6,Rams,4
Alden Gonzalez,7,Rams,Cardinals,3,1,0.17235959321291194,Rams,7,Rams,5
Alden Gonzalez,9,Rams,Giants,17,1,0.012615629524382152,Rams,9,Rams,6
Alden Gonzalez,10,Rams,Texans,18,1,0.009854810231226103,Rams,10,Rams,7
Alden Gonzalez,11,Rams,Vikings,3,0,0.3420353355571165,Rams,11,Rams,7
Alden Gonzalez,12,Saints,Rams,4,0,0.37509686300537626,Rams,12,Rams,8
Alden Gonzalez,13,Rams,Cardinals,20,1,0.00586200406394533,Rams,13,Rams,9
Alden Gonzalez,14,Eagles,Rams,3,1,0.17235959321291194,Rams,14,Rams,9
Alden Gonzalez,15,Rams,Seahawks,7,1,0.09519541280308985,Rams,15,Rams,10
Alden Gonzalez,16,Rams,Titans,8,1,0.08057342434612332,Rams,16,Rams,11
Alden Gonzalez,17,49ers,Rams,18,1,0.009854810231226103,Rams,17,Rams,11
Brady Henderson,2,Seahawks,49ers,13,1,0.031171885983588794,Seahawks,2,Seahawks,1
Brady Henderson,3,Seahawks,Titans,3,0,0.3420353355571165,Seahawks,3,Seahawks,1
Brady Henderson,4,Seahawks,Colts,10,1,0.05641825010098386,Seahawks,4,Seahawks,2
Brady Henderson,5,Rams,Seahawks,1,0,0.27928230019681743,Seahawks,5,Seahawks,3
Brady Henderson,7,Seahawks,Giants,13,1,0.031171885983588794,Seahawks,7,Seahawks,4
Brady Henderson,8,Seahawks,Texans,6,1,0.11163455118252921,Seahawks,8,Seahawks,5
Brady Henderson,9,Seahawks,Redskins,9,0,0.547365592715189,Seahawks,9,Seahawks,5
Brady Henderson,11,Falcons,Seahawks,3,1,0.17235959321291194,Seahawks,11,Seahawks,6
Brady Henderson,12,Seahawks,49ers,6,1,0.11163455118252921,Seahawks,12,Seahawks,7
Brady Henderson,13,Seahawks,Eagles,1,1,0.22233897116386037,Seahawks,13,Seahawks,8
Brady Henderson,14,Seahawks,Jaguars,3,0,0.3420353355571165,Seahawks,14,Seahawks,8
Brady Henderson,15,Rams,Seahawks,3,1,0.17235959321291194,Seahawks,15,Seahawks,8
