pundit,pundit_team,spread,win,squared_error,tot_wins,standing,tot_wins_16,tot_wins_17
Mike Wells,Colts,13.0,0.7857142857142857,0.13594764442628102,2.2857142857142856,1,8,4
Tim McManus,Eagles,7.0,0.7857142857142857,0.14124349193340896,7.785714285714286,2,7,13
Pat McManamon,Browns,9.2,0.6666666666666666,0.15146150886299786,0.0,3,1,0
Sarah Barshop,Texans,9.357142857142858,0.7857142857142857,0.15833786629363983,3.2142857142857144,4,9,4
Rob Demovsky,Packers,10.214285714285714,0.7142857142857143,0.15918191240949758,4.857142857142857,5,10,7
Rich Cimini,Jets,7.769230769230769,0.6923076923076923,0.16101107595155748,3.3076923076923075,6,5,5
Cameron Wolfe,Titans,7.142857142857143,0.7857142857142857,0.17688555320681593,5.214285714285714,7,9,9
Alden Gonzalez,Rams,8.642857142857142,0.7142857142857143,0.18012599687190925,6.714285714285714,8,4,11
Mike Triplett,Saints,5.0,0.8461538461538461,0.18109815647727395,5.846153846153846,9,7,11
Mike Rothstein,Lions,7.066666666666666,0.7333333333333333,0.18257008114201365,5.0,10,9,9
Mike Reiss,Patriots,9.461538461538462,0.7692307692307693,0.18814130970984747,6.923076923076923,11,14,13
Jeremy Fowler,Steelers,6.538461538461538,0.6923076923076923,0.2022164554213048,6.538461538461538,12,11,13
Courtney Cronin,Vikings,8.466666666666667,0.6666666666666666,0.2059733416702774,6.866666666666666,13,8,13
Nick Wagoner,49ers,7.785714285714286,0.7857142857142857,0.21077150859078236,1.5714285714285714,14,2,6
Katherine Terrell,Bengals,9.357142857142858,0.6428571428571429,0.21537384305631763,3.642857142857143,15,6,7
Eric Williams,Chargers,5.2,0.6666666666666666,0.2251225484828862,3.8666666666666667,16,5,9
Adam Teicher,Chiefs,4.357142857142857,0.6428571428571429,0.22653394253069886,5.928571428571429,17,12,10
Jenna Laine,Buccaneers,6.066666666666666,0.5333333333333333,0.23161898409984658,2.933333333333333,18,9,5
Jeff Dickerson,Bears,7.0,0.6153846153846154,0.2323944552894221,2.769230769230769,19,3,5
Brady Henderson,Seahawks,6.0,0.5714285714285714,0.238688716790649,5.428571428571429,20,10,9
Paul Gutierrez,Raiders,5.785714285714286,0.5,0.24274955413915808,4.0,21,12,6
John Keim,Redskins,4.142857142857143,0.6428571428571429,0.25065568197133054,4.0,22,8,7
David Newton,Panthers,9.571428571428571,0.5714285714285714,0.2512119068504923,6.428571428571429,23,6,11
James Walker,Dolphins,6.133333333333334,0.6,0.2535417792863212,3.8,24,10,6
Mike Rodak,Bills,8.214285714285714,0.5714285714285714,0.2570468712269256,5.142857142857143,25,7,9
Jeff Legwold,Broncos,6.785714285714286,0.6428571428571429,0.2674053068827752,3.2142857142857144,26,9,5
Todd Archer,Cowboys,5.642857142857143,0.5,0.27221640086332693,4.714285714285714,27,13,9
Vaughn McClure,Falcons,7.333333333333333,0.5833333333333334,0.2752874515637492,5.5,28,11,10
Josh Weinfuss,Cardinals,9.428571428571429,0.5714285714285714,0.28213907683361655,4.071428571428571,29,7,8
Jordan Raanan,Giants,8.333333333333334,0.6,0.3096887090622199,1.2666666666666666,30,11,3
Jamison Hensley,Ravens,10.071428571428571,0.5,0.3255607752318192,5.0,31,8,9
Mike DiRocco,Jaguars,9.8,0.4666666666666667,0.356596754885122,5.8,32,3,10
